file_path,library,stage,reason,n_points,wavelength_min,wavelength_max,missing_count,quality_score,mineral
data\raw\USGS\Orthoclase\errorbars_for_S07SNTL2_Orthoclase_NMNH142137_Fe_BECKb_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 14 < 50'],0,400.0,413.0,0,,Orthoclase
data\raw\USGS\Orthoclase\errorbars_for_S07WV3_Adularia_GDS57_Orthoclase_BECKb_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 17 < 50'],0,400.0,416.0,0,,Orthoclase
data\raw\USGS\Orthoclase\errorbars_for_S07WV3_Orthoclase_NMNH113188_BECKb_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 17 < 50'],0,400.0,416.0,0,,Orthoclase
data\raw\USGS\Rutile\errorbars_for_S07ASTER_Rutile_HS126.3B_BECKc_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 10 < 50'],0,400.0,409.0,0,,Rutile
data\raw\USGS\Rutile\errorbars_for_S07LSAT8_Rutile_HS126.3B_BECKc_AREF.txt,usgs,parsing,parse_error: Insufficient points: 8,0,,,0,,Rutile
data\raw\USGS\Rutile\errorbars_for_S07SNTL2_Rutile_HS126.3B_BECKc_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 14 < 50'],0,400.0,413.0,0,,Rutile
data\raw\USGS\Rutile\errorbars_for_S07WV3_Rutile_HS126.3B_BECKc_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 17 < 50'],0,400.0,416.0,0,,Rutile
data\raw\USGS\Zircon\errorbars_for_S07ASTER_Zircon_WS522_BECKa_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 10 < 50'],0,400.0,409.0,0,,Zircon
data\raw\USGS\Zircon\errorbars_for_S07LSAT8_Zircon_WS522_BECKa_AREF.txt,usgs,parsing,parse_error: Insufficient points: 8,0,,,0,,Zircon
data\raw\USGS\Zircon\errorbars_for_S07SNTL2_Zircon_WS522_BECKa_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 14 < 50'],0,400.0,413.0,0,,Zircon
data\raw\USGS\Zircon\errorbars_for_S07WV3_Zircon_WS522_BECKa_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 17 < 50'],0,400.0,416.0,0,,Zircon
data\raw\USGS\Zircon\S07ASTER_Zircon_WS522_BECKa_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 10 < 50'],0,400.0,409.0,0,,Zircon
data\raw\USGS\Zircon\S07LSAT8_Zircon_WS522_BECKa_AREF.txt,usgs,parsing,parse_error: Insufficient points: 8,0,,,0,,Zircon
data\raw\USGS\Zircon\S07SNTL2_Zircon_WS522_BECKa_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 14 < 50'],0,400.0,413.0,0,,Zircon
data\raw\USGS\Zircon\S07WV3_Zircon_WS522_BECKa_AREF.txt,usgs,cleaning,cleaning_failed: ['Insufficient valid points: 17 < 50'],0,400.0,416.0,0,,Zircon
