spectrum_id,mineral_id,source,instrument,sample_name
SPC-000119,3,RELAB,UNKNOWN,cagn04
SPC-000120,3,RELAB,UNKNOWN,m1gn04
SPC-000121,3,RRUFF,Raman,R040001
SPC-000122,3,RRUFF,Raman,R050256
SPC-000123,3,RRUFF,Raman,R050311
SPC-000124,3,RRUFF,Raman,R050377
SPC-000125,3,RRUFF,Raman,R060326
SPC-000126,3,RRUFF,Raman,R060350
SPC-000127,3,RRUFF,Raman,R060358
SPC-000128,3,RRUFF,Raman,R060423
SPC-000129,3,RRUFF,Raman,R060449
SPC-000130,3,RRUFF,Raman,R070722
SPC-000131,3,RRUFF,Raman,R100049
SPC-000132,3,RRUFF,Raman,R100138
SPC-000133,3,RRUFF,Raman,R120004
SPC-000134,3,RRUFF,UNKNOWN,X050015_Raman_785_Raman_Data_Processed_319a8ce9a886764c8a6865640528
SPC-000135,3,USGS,ASD,AV00
SPC-000136,3,USGS,ASD,AV00
SPC-000137,3,USGS,ASD,AV00
SPC-000138,3,USGS,ASD,AV00
SPC-000139,3,USGS,ASD,AV00
SPC-000140,3,USGS,ASD,AV00
SPC-000141,3,USGS,ASD,AV01
SPC-000142,3,USGS,ASD,AV01
SPC-000143,3,USGS,ASD,AV01
SPC-000144,3,USGS,ASD,AV01
SPC-000145,3,USGS,ASD,AV01
SPC-000146,3,USGS,ASD,AV01
SPC-000147,3,USGS,ASD,AV05
SPC-000148,3,USGS,ASD,AV05
SPC-000149,3,USGS,ASD,AV05
SPC-000150,3,USGS,ASD,AV05
SPC-000151,3,USGS,ASD,AV05
SPC-000152,3,USGS,ASD,AV05
SPC-000153,3,USGS,ASD,AV06
SPC-000154,3,USGS,ASD,AV06
SPC-000155,3,USGS,ASD,AV06
SPC-000156,3,USGS,ASD,AV06
SPC-000157,3,USGS,ASD,AV06
SPC-000158,3,USGS,ASD,AV06
SPC-000159,3,USGS,ASD,AV09
SPC-000160,3,USGS,ASD,AV09
SPC-000161,3,USGS,ASD,AV09
SPC-000162,3,USGS,ASD,AV09
SPC-000163,3,USGS,ASD,AV09
SPC-000164,3,USGS,ASD,AV09
SPC-000165,3,USGS,ASD,AV10
SPC-000166,3,USGS,ASD,AV10
SPC-000167,3,USGS,ASD,AV10
SPC-000168,3,USGS,ASD,AV10
SPC-000169,3,USGS,ASD,AV10
SPC-000170,3,USGS,ASD,AV10
SPC-000171,3,USGS,ASD,AV11
SPC-000172,3,USGS,ASD,AV11
SPC-000173,3,USGS,ASD,AV11
SPC-000174,3,USGS,ASD,AV11
SPC-000175,3,USGS,ASD,AV11
SPC-000176,3,USGS,ASD,AV11
SPC-000177,3,USGS,ASD,AV12
SPC-000178,3,USGS,ASD,AV12
SPC-000179,3,USGS,ASD,AV12
SPC-000180,3,USGS,ASD,AV12
SPC-000181,3,USGS,ASD,AV12
SPC-000182,3,USGS,ASD,AV12
SPC-000183,3,USGS,ASD,AV13
SPC-000184,3,USGS,ASD,AV13
SPC-000185,3,USGS,ASD,AV13
SPC-000186,3,USGS,ASD,AV13
SPC-000187,3,USGS,ASD,AV13
SPC-000188,3,USGS,ASD,AV13
SPC-000189,3,USGS,ASD,AV14
SPC-000190,3,USGS,ASD,AV14
SPC-000191,3,USGS,ASD,AV14
SPC-000192,3,USGS,ASD,AV14
SPC-000193,3,USGS,ASD,AV14
SPC-000194,3,USGS,ASD,AV14
SPC-000195,3,USGS,ASD,AV95
SPC-000196,3,USGS,ASD,AV95
SPC-000197,3,USGS,ASD,AV95
SPC-000198,3,USGS,ASD,AV95
SPC-000199,3,USGS,ASD,AV95
SPC-000200,3,USGS,ASD,AV95
SPC-000201,3,USGS,ASD,AV96
SPC-000202,3,USGS,ASD,AV96
SPC-000203,3,USGS,ASD,AV96
SPC-000204,3,USGS,ASD,AV96
SPC-000205,3,USGS,ASD,AV96
SPC-000206,3,USGS,ASD,AV96
SPC-000207,3,USGS,ASD,AV97
SPC-000208,3,USGS,ASD,AV97
SPC-000209,3,USGS,ASD,AV97
SPC-000210,3,USGS,ASD,AV97
SPC-000211,3,USGS,ASD,GDS12
SPC-000212,3,USGS,ASD,HS111.3B
SPC-000213,3,USGS,ASD,NMNH113829
SPC-000214,3,USGS,ASD,WS474
