GSUID,spectrum_id,crystal_system,space_group,symmetry_rank,symmetry_index,symmetry_complexity_score
5e1c7c403c680e040d920f7977bfc1d93ce2c93a,SPC-001178,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
5e5f08864c140875c6e7f22cb365764c024bb685,SPC-001076,Hexagonal,P6/mcc,6,0.8571428571428571,0.1428571428571429
5e733c11a64c31b188642e2d34c3143e5163a1de,SPC-000280,Cubic,Fd-3m,7,1.0,0.0
5e866b12afb1003d699c3fe8876526f92ca26ad6,SPC-001470,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
5eb70a1cd9bc24be5664e94442ebf96bb5d41036,SPC-000826,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
5ebe8e9592dbe7ee489dcf72007fd2bce040868c,SPC-000458,Tetragonal,I4_1/amd,4,0.5714285714285714,0.4285714285714286
5effce96f98e26a8ea185cd5a862d3af1d2bcc7e,SPC-001037,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
5f08aaa5cd93256d6f08a9f926ff28536d4e17f6,SPC-001409,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
5f186310e2f1f88cf5034a42a0684850c3efe908,SPC-000562,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
5f1cc6c232cfc7d339611f16f0f897d168b818f3,SPC-001803,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
5f2b49edee40b4436e014ef7387e7782eb8e906a,SPC-001051,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
5f340e065b2ca0394d9d87e7e203b2229c4ecf9d,SPC-001206,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
5f978b0ca982821f5864b231bc75d81f2b5fffd6,SPC-000142,Cubic,Ia-3d,7,1.0,0.0
5fb5b8c546ce92fcc1a213281c08783fb85ba176,SPC-000153,Cubic,Ia-3d,7,1.0,0.0
5fd42aad0a5004e5b6a8d3d630aff96c91cc4327,SPC-001427,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
5fe121ab15e9231638a50c3b023caab34b3f7db4,SPC-001554,Hexagonal,P63/m,6,0.8571428571428571,0.1428571428571429
60039970969f294f3fc8f4b93055f2cb341464d7,SPC-000209,Cubic,Ia-3d,7,1.0,0.0
600ac8fd7a5785632aac8fb254f5720de4f0c6eb,SPC-001595,Hexagonal,P63/m,6,0.8571428571428571,0.1428571428571429
60205b6b9a6d8665c2fcab2be6a4a1307b420794,SPC-001551,Hexagonal,P63/m,6,0.8571428571428571,0.1428571428571429
602cce20a5661531425b7593586ca80296f545de,SPC-001314,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
605c5b467a7727edda6f125631295254384d8f84,SPC-001403,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
608cacf35888a1d6846ac223ef3547bcd870e9fb,SPC-001067,Hexagonal,P6/mcc,6,0.8571428571428571,0.1428571428571429
60d75d44df1b583889afd5d7a4d0a0a179fbbefe,SPC-001225,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
60def0bc2e1505c574c1016c28f990203939e19f,SPC-001661,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
6111a0862cbfdca64cdf2145c0627bf3f08c0afb,SPC-000219,Cubic,Fd-3m,7,1.0,0.0
618ca733ab8439bcf6e549d9e3dcd78fce7db6e4,SPC-000465,Tetragonal,I4_1/amd,4,0.5714285714285714,0.4285714285714286
619e008c079b27ceb448d40b80be8db1b8c7ac1d,SPC-001556,Hexagonal,P63/m,6,0.8571428571428571,0.1428571428571429
61e5e5582d8ea60981e763a88e145c38b2efd7cb,SPC-000374,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
61ed44e14d025c72656318a44f6606b5ae9bed99,SPC-000508,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
622af4b0a74f9acccb55ea842f6997c49b0ccffa,SPC-000488,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
626da1cba13d05035c2358f5e90d9de408701105,SPC-000771,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
62eec9060ae151937460d384fcd93ceb9c0ce15f,SPC-000616,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
62f6a96c8322e20b033bdf73d39950968dbaf7ac,SPC-000710,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
631a1f0527ba3900bff5b768c32882750e48696e,SPC-000090,Cubic,Ia-3d,7,1.0,0.0
6348dd3e2b42810a2e2dd26697f2257fdecb65e4,SPC-000014,Cubic,Ia-3d,7,1.0,0.0
634b7f6c5f0a55869b1336ec06cb1c2b4ca6817e,SPC-001250,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
636773951703316eceab6ec098e6ed03238b141f,SPC-001731,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
636cdeac0fee55f02f250e2a0ec69ec1f9ee3cbd,SPC-000930,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
63f8699b25e202114fc6d8a0a5ca651147cc2203,SPC-001512,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
64278a855bff14b78281243479dbe104e82e65f1,SPC-001426,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
6453544cbc66e43f058d771355329946ed04ce56,SPC-000987,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
645903c4a7e2b83b8468ad9b89ef2468ab8e0cb5,SPC-001672,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
64cbb00bb9895cdad848f70fcb0a2f3b8633466d,SPC-001363,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
64d4a1de1cfcebee68dba1fe800ed8b91de3e4d8,SPC-001475,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
652ed323b740ad2e0062f77347d842386b30b642,SPC-001522,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
65312be21810aeb85cd6a4cf045ee9044b75833f,SPC-000670,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
654750ec283107fb43f9bb97eb6b4ed82efce2ba,SPC-000791,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
657e097c3e9f6db684676981229ffd66d312c913,SPC-000483,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
659bdeaed5cd8ad8912d568f233f3b556bdd90cf,SPC-000776,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
65cd2e620667aa88e009e1f9f5cdae2ff9f337b9,SPC-000648,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
6687137631930f81723043c16b042835e403f5d2,SPC-000385,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
674f2272bd6cd426c51db9e24828dd0777b274c1,SPC-001682,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
6760868de3520e17ea2618fb2855bb801fa19211,SPC-000037,Cubic,Ia-3d,7,1.0,0.0
